"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: keyDistribution","Param: keyRange","Param: mapType","Param: operationMix","Param: prefillFactor","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"20369,710225","2103,932712","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"17051,528173","1357,798296","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"15465,203432","1079,356296","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"14381,219583","1153,347950","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"14960,014817","1131,104963","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"14461,489059","1295,995945","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,0:50,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"14114,132532","812,768342","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"12521,876964","660,788076","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"10864,796636","371,559643","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"9781,508408","473,823317","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"9333,783460","295,331409","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",8,15,"9276,705744","373,936691","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,0:50,0.5,42
