Benchmark,Mode,Param: keyDistribution,Threads,Samples,Score,"Score Error (99,9%)",Unit,Param: keyRange,Param: mapType,Param: operationMix,Param: prefillFactor,Param: seed
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"21799,757583","540,084958",ops/ms,100,SYNCHRONIZED_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"18935,079064","1164,076169",ops/ms,100,SYNCHRONIZED_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"16014,084149","953,516996",ops/ms,100,SYNCHRONIZED_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"14275,058990","1072,577404",ops/ms,100,SYNCHRONIZED_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"14703,746185","967,692012",ops/ms,100,SYNCHRONIZED_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"14805,809771","1631,277157",ops/ms,100,SYNCHRONIZED_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"14590,802031","813,179003",ops/ms,100,SYNCHRONIZED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"12017,623317","837,849636",ops/ms,100,SYNCHRONIZED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"10198,479208","641,232541",ops/ms,100,SYNCHRONIZED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"8884,772007","310,419302",ops/ms,100,SYNCHRONIZED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"8757,766995","463,709706",ops/ms,100,SYNCHRONIZED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"8565,417534","332,304188",ops/ms,100,SYNCHRONIZED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"7885,899825","400,498642",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"18660,683423","483,793876",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"15021,762767","378,861178",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"14146,146611","216,722913",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"15335,797888","203,829451",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"28602,227291","786,279098",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"8516,340408","921,194640",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"7729,632574","182,357938",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"5829,105295","125,698614",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"5326,301413","129,268416",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"5886,126010","79,227662",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"9122,240993","170,817241",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"421709,836896","21959,043217",ops/ms,100,CONCURRENT_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"231653,473719","6696,487313",ops/ms,100,CONCURRENT_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"134686,895268","5038,390201",ops/ms,100,CONCURRENT_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"78517,081734","3748,909904",ops/ms,100,CONCURRENT_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"66084,093851","3839,006410",ops/ms,100,CONCURRENT_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"62111,404886","4497,212458",ops/ms,100,CONCURRENT_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"235587,714443","16000,289438",ops/ms,100,NON_BLOCKING_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"233183,213145","10106,789704",ops/ms,100,NON_BLOCKING_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"166997,668058","14068,046817",ops/ms,100,NON_BLOCKING_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"104976,458111","10724,715174",ops/ms,100,NON_BLOCKING_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"96616,880343","8614,183020",ops/ms,100,NON_BLOCKING_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"89055,967696","10385,992063",ops/ms,100,NON_BLOCKING_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"22179,862602","1946,827223",ops/ms,100,SHARDED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"11019,047956","502,999932",ops/ms,100,SHARDED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"8118,121360","130,297675",ops/ms,100,SHARDED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"7680,472827","84,960114",ops/ms,100,SHARDED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"8891,549806","87,751040",ops/ms,100,SHARDED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"11714,651485","194,794430",ops/ms,100,SHARDED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"118612,452600","9708,419451",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"55145,513600","2355,361010",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"31150,682543","599,086059",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"16194,638705","199,852778",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"13134,382116","246,369728",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"12164,041090","184,488823",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"20070,909641","1835,536949",ops/ms,10000,SYNCHRONIZED_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"14547,966925","1471,923451",ops/ms,10000,SYNCHRONIZED_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"13604,444506","976,341623",ops/ms,10000,SYNCHRONIZED_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"11876,532633","760,688395",ops/ms,10000,SYNCHRONIZED_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"11618,629908","1076,176045",ops/ms,10000,SYNCHRONIZED_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"11142,635162","1102,580983",ops/ms,10000,SYNCHRONIZED_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"9494,253691","470,625293",ops/ms,10000,SYNCHRONIZED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"6499,561336","392,851836",ops/ms,10000,SYNCHRONIZED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"5588,049230","289,946637",ops/ms,10000,SYNCHRONIZED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"5246,015854","379,169928",ops/ms,10000,SYNCHRONIZED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"4865,028061","280,670896",ops/ms,10000,SYNCHRONIZED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"5056,901513","528,987496",ops/ms,10000,SYNCHRONIZED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"7935,935410","1190,948062",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"10310,050231","518,128555",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"8598,560175","302,375859",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"7738,039734","117,060237",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"8442,478985","193,138620",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"15183,363174","371,449438",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"7952,656340","1195,123227",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"2310,942114","46,943369",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"1829,727141","37,446456",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"1887,722984","44,905917",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"2263,123761","55,949901",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"2908,918809","76,734025",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"298566,119943","40564,427823",ops/ms,10000,CONCURRENT_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"188413,098289","14704,001237",ops/ms,10000,CONCURRENT_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"125180,983940","5908,288891",ops/ms,10000,CONCURRENT_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"85208,930182","6661,659590",ops/ms,10000,CONCURRENT_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"76134,413585","6857,964477",ops/ms,10000,CONCURRENT_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"72167,685487","4516,549822",ops/ms,10000,CONCURRENT_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"184968,461817","35918,334602",ops/ms,10000,NON_BLOCKING_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"166200,004949","27740,013956",ops/ms,10000,NON_BLOCKING_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"132574,329038","23637,497570",ops/ms,10000,NON_BLOCKING_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"92971,365813","17324,361313",ops/ms,10000,NON_BLOCKING_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"78269,991761","14349,754472",ops/ms,10000,NON_BLOCKING_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"82003,216390","10661,889260",ops/ms,10000,NON_BLOCKING_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"17356,064866","1355,615640",ops/ms,10000,SHARDED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"4810,181327","119,629689",ops/ms,10000,SHARDED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"3289,441373","94,013920",ops/ms,10000,SHARDED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"2999,066908","63,376173",ops/ms,10000,SHARDED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"3248,578238","55,149983",ops/ms,10000,SHARDED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"3649,923235","136,800305",ops/ms,10000,SHARDED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"39939,239043","3250,774318",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"22693,473095","684,772058",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"15929,868015","661,169124",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"13054,194142","678,501770",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,thrpt,UNIFORM,4,15,"11935,377239","664,600605",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,10:45,0.5,42
