"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: keyDistribution","Param: keyRange","Param: mapType","Param: operationMix","Param: prefillFactor","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"19883,047998","1809,923078","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"17300,735232","1284,147491","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"15440,536889","1197,990530","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"14499,003614","1073,328498","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"14259,957352","869,664979","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"14817,927863","1346,625164","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,0:50,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"14451,297560","1003,798070","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"12377,789981","605,096169","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"10611,966552","503,119161","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"9383,165971","419,251153","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"9405,373267","478,873773","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"9102,260289","381,695043","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,0:50,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"6712,372099","572,722123","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"15513,942294","534,842548","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"13580,747805","345,415435","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"13217,242350","322,153343","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"14144,437036","319,565305","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"28534,153806","1133,923298","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,0:50,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"7102,894170","989,455270","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"7557,103060","309,648497","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"5804,149993","140,749244","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"5445,279727","118,565353","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"5964,044626","100,418058","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"10303,765193","185,025379","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,0:50,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"1228760,657735","435581,448859","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"188347,752334","8260,790083","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"74295,407349","2810,535960","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"41102,186907","1471,031732","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"34116,913024","758,946016","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"32586,437935","1165,738406","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,0:50,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"693786,229928","245401,185297","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"359265,800478","79229,184327","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"157724,338285","5018,846895","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"91519,933040","3768,768157","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"73878,994010","3759,836422","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"69607,791112","4170,222827","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,0:50,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"31429,595540","4156,414496","ops/ms",ZIPF,100,SHARDED_TREE_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"14358,641970","401,867844","ops/ms",ZIPF,100,SHARDED_TREE_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"9833,881673","244,193378","ops/ms",ZIPF,100,SHARDED_TREE_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"8680,337813","228,757895","ops/ms",ZIPF,100,SHARDED_TREE_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"11096,299385","308,712585","ops/ms",ZIPF,100,SHARDED_TREE_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"17163,733871","777,755407","ops/ms",ZIPF,100,SHARDED_TREE_MAP,0:50,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"331520,324427","98965,721337","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,100:0,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"70183,032550","1369,695560","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,90:5,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"23691,767572","441,225959","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,70:20,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"11627,200310","159,026782","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,30:35,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"9027,731582","145,281943","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,10:45,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"8042,206161","167,592983","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,0:50,0.5,42
