"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: size"
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"0,987914",NaN,"s/op",CONCURRENT_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"64,000000",NaN,"#",CONCURRENT_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,023606",NaN,"s/op",CONCURRENT_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"8528,000000",NaN,"#",CONCURRENT_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,198588",NaN,"s/op",CONCURRENT_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"771152,000000",NaN,"#",CONCURRENT_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"8,825106",NaN,"s/op",CONCURRENT_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"80777296,000000",NaN,"#",CONCURRENT_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"0,992118",NaN,"s/op",NON_BLOCKING_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"872,000000",NaN,"#",NON_BLOCKING_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,027629",NaN,"s/op",NON_BLOCKING_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"11448,000000",NaN,"#",NON_BLOCKING_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,020011",NaN,"s/op",NON_BLOCKING_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"1266936,000000",NaN,"#",NON_BLOCKING_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"2,231039",NaN,"s/op",NON_BLOCKING_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"148663800,000000",NaN,"#",NON_BLOCKING_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"0,980727",NaN,"s/op",SHARDED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"2872,000000",NaN,"#",SHARDED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,020229",NaN,"s/op",SHARDED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"10072,000000",NaN,"#",SHARDED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,289038",NaN,"s/op",SHARDED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"722872,000000",NaN,"#",SHARDED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"14,066761",NaN,"s/op",SHARDED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"72002872,000000",NaN,"#",SHARDED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"0,990867",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"1368,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,044378",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"13688,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,099859",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"1227928,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"4,474424",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"122667960,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,1000000
