"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"2,740060","0,654699","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"9,641087","2,474250","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"4,721840","1,132796","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"11,681420","2,992097","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"7,673813","1,675187","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"12,452113","1,916963","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"11,960820","2,179127","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"21,778013","6,012075","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16777216","ss",1,15,"1974,632407","322,893126","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16777216","ss",1,15,"19560,673747","247,952980","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16777216","ss",1,15,"2030,209767","30,547348","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16777216","ss",1,15,"19740,482580","256,656885","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16777216","ss",1,15,"2811,137327","17,533279","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16777216","ss",1,15,"5698,844060","475,762247","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16777216","ss",1,15,"19644,427927","260,096260","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16777216","ss",1,15,"32340,669347","285,884739","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_1048576","ss",32,15,"98,757437","20,158794","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_1048576","ss",32,15,"190,560984","30,672855","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_1048576","ss",32,15,"94,503696","9,203906","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_1048576","ss",32,15,"520,577096","32,276638","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_1048576","ss",32,15,"97,999173","33,661198","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_1048576","ss",32,15,"622,465882","183,853330","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_1048576","ss",32,15,"118,372982","18,700807","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_1048576","ss",32,15,"296,059248","133,230926","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16384","ss",32,15,"3,009993","0,522489","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16384","ss",32,15,"6,299505","0,715553","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16384","ss",32,15,"2,869316","0,691655","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16384","ss",32,15,"8,006177","2,104979","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16384","ss",32,15,"2,456466","0,682148","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16384","ss",32,15,"80,452964","49,564732","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16384","ss",32,15,"8,820477","0,516475","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16384","ss",32,15,"14,559911","5,148539","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16777216","ss",32,15,"2115,311321","170,428252","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16777216","ss",32,15,"11014,191002","1160,283832","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16777216","ss",32,15,"2101,187643","251,297911","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16777216","ss",32,15,"20177,744348","1423,361862","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
