"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: domainsCount","Param: mapType","Param: operationMix","Param: prefillFactor","Param: prefixLength","Param: seed"
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"32102,416508","2507,410325","ops/ms",5,SYNCHRONIZED_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"23383,733180","1260,003753","ops/ms",5,SYNCHRONIZED_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"16338,910305","1759,731392","ops/ms",5,SYNCHRONIZED_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"15794,062316","616,563377","ops/ms",5,SYNCHRONIZED_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"15380,439676","1428,124453","ops/ms",5,SYNCHRONIZED_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"15227,832565","650,638674","ops/ms",5,SYNCHRONIZED_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"4706,151357","681,337415","ops/ms",5,SYNCHRONIZED_TREE_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"3781,495926","388,027396","ops/ms",5,SYNCHRONIZED_TREE_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"2940,103950","249,304078","ops/ms",5,SYNCHRONIZED_TREE_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",1,15,"2764,189386","135,984238","ops/ms",5,SYNCHRONIZED_TREE_MAP,30:35,0.5,3,42
