"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: domainsCount","Param: mapType","Param: operationMix","Param: prefillFactor","Param: prefixLength","Param: seed"
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"11258,727039","671,698921","ops/ms",5,SYNCHRONIZED_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"8575,504651","370,827712","ops/ms",5,SYNCHRONIZED_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"6963,124228","323,998177","ops/ms",5,SYNCHRONIZED_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"6582,328054","260,509177","ops/ms",5,SYNCHRONIZED_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"6390,941478","253,884956","ops/ms",5,SYNCHRONIZED_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"6338,158065","375,663544","ops/ms",5,SYNCHRONIZED_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"4847,634950","110,829582","ops/ms",5,SYNCHRONIZED_TREE_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"3042,731519","55,261380","ops/ms",5,SYNCHRONIZED_TREE_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"2436,173843","69,778518","ops/ms",5,SYNCHRONIZED_TREE_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"2233,262969","59,627318","ops/ms",5,SYNCHRONIZED_TREE_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"2184,030744","84,112358","ops/ms",5,SYNCHRONIZED_TREE_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"2136,524302","83,340457","ops/ms",5,SYNCHRONIZED_TREE_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"6883,795257","1097,372032","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"3740,244173","350,652153","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"2613,947793","159,984881","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"3027,468616","118,100685","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"3735,650676","98,672469","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"5475,328899","191,389360","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"6477,576895","969,239484","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"1519,752696","36,719460","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"1131,038972","65,551002","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"1085,775476","43,786152","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"1228,097445","37,001333","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"1433,404182","51,813206","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"260622,033653","26609,391114","ops/ms",5,CONCURRENT_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"162313,512608","30498,104741","ops/ms",5,CONCURRENT_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"116643,961940","8664,850047","ops/ms",5,CONCURRENT_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"103117,304140","7339,305023","ops/ms",5,CONCURRENT_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"91861,272591","5992,395806","ops/ms",5,CONCURRENT_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"88213,537734","4912,139050","ops/ms",5,CONCURRENT_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"221499,912774","26893,892180","ops/ms",5,NON_BLOCKING_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"58907,717112","12388,525212","ops/ms",5,NON_BLOCKING_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"17100,943530","3593,109782","ops/ms",5,NON_BLOCKING_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"14855,930034","2621,981748","ops/ms",5,NON_BLOCKING_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"12176,329325","3359,128145","ops/ms",5,NON_BLOCKING_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"12216,782922","4526,774352","ops/ms",5,NON_BLOCKING_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"30987,521820","1742,435406","ops/ms",5,SHARDED_TREE_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",32,15,"12083,211952","196,227477","ops/ms",5,SHARDED_TREE_MAP,90:5,0.5,3,42
