"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: domainsCount","Param: mapType","Param: operationMix","Param: prefillFactor","Param: prefixLength","Param: seed"
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"13849,755174","891,572920","ops/ms",5,SYNCHRONIZED_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"10419,738337","556,700263","ops/ms",5,SYNCHRONIZED_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"8863,243105","531,606341","ops/ms",5,SYNCHRONIZED_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"8040,465738","580,496990","ops/ms",5,SYNCHRONIZED_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"7617,488046","520,880312","ops/ms",5,SYNCHRONIZED_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"8133,929750","482,203203","ops/ms",5,SYNCHRONIZED_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"5099,793779","143,355727","ops/ms",5,SYNCHRONIZED_TREE_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"3329,659665","134,755651","ops/ms",5,SYNCHRONIZED_TREE_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"2758,152535","95,676865","ops/ms",5,SYNCHRONIZED_TREE_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"2547,353294","69,965084","ops/ms",5,SYNCHRONIZED_TREE_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"2435,289763","104,785933","ops/ms",5,SYNCHRONIZED_TREE_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"2452,786805","104,903185","ops/ms",5,SYNCHRONIZED_TREE_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"6690,584219","791,606628","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"4726,590032","159,989106","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"3431,428492","90,371712","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"3807,937153","83,535909","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"4657,034863","171,935217","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"7583,714621","535,133064","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"6260,288678","561,290996","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"1781,482606","8,870328","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"1305,940350","23,087543","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"1284,247570","10,410944","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"1455,722606","16,477307","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"1744,261680","50,494338","ops/ms",5,RW_SYNCHRONIZED_TREE_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"154534,393323","11712,836178","ops/ms",5,CONCURRENT_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"95298,946670","6400,412824","ops/ms",5,CONCURRENT_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"75476,493113","4625,577471","ops/ms",5,CONCURRENT_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"60972,769999","1579,573936","ops/ms",5,CONCURRENT_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"56228,180732","2564,598049","ops/ms",5,CONCURRENT_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"54984,703363","2590,941612","ops/ms",5,CONCURRENT_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"145839,698430","3681,017754","ops/ms",5,NON_BLOCKING_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"77939,837310","3442,193440","ops/ms",5,NON_BLOCKING_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"41113,172383","2231,850719","ops/ms",5,NON_BLOCKING_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"36478,123100","2001,108097","ops/ms",5,NON_BLOCKING_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"36366,855309","9658,261662","ops/ms",5,NON_BLOCKING_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"33228,609891","7634,232551","ops/ms",5,NON_BLOCKING_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"11831,503500","324,495840","ops/ms",5,SHARDED_TREE_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"3380,938959","35,324501","ops/ms",5,SHARDED_TREE_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",4,15,"2288,515333","31,665843","ops/ms",5,SHARDED_TREE_MAP,70:20,0.5,3,42
