"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: keyDistribution","Param: keyRange","Param: mapType","Param: prefillFactor","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"21100,495772","1168,876816","ops/ms",ZIPF,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"2827,979588","264,966295","ops/ms",ZIPF,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"828,036045","73,587979","ops/ms",ZIPF,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"150616,558362","6443,852964","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"143868,282654","6176,861828","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"5695,700340","397,510671","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"1052,575368","102,964386","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"16520,460803","1445,599867","ops/ms",ZIPF,10000,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"9524,137556","2254,793571","ops/ms",ZIPF,10000,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"6127,120034","1428,311250","ops/ms",ZIPF,10000,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"869,203214","231,499934","ops/ms",ZIPF,10000,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"8628,212710","657,500615","ops/ms",ZIPF,10000,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"6094,600102","850,988532","ops/ms",ZIPF,10000,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"1982,621076","474,017558","ops/ms",ZIPF,10000,SYNCHRONIZED_TREE_MAP,0.5,42
