"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: keyDistribution","Param: keyRange","Param: mapType","Param: prefillFactor","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"42749,472352","3773,824880","ops/ms",SEQUENTIAL,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"36622,283089","3841,645568","ops/ms",SEQUENTIAL,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"4679,250212","373,995868","ops/ms",SEQUENTIAL,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"1447,939051","96,369630","ops/ms",SEQUENTIAL,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"172081,231861","19217,591258","ops/ms",SEQUENTIAL,100,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"168939,891136","18887,033755","ops/ms",SEQUENTIAL,100,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"2420,366882","400,914166","ops/ms",SEQUENTIAL,100,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"720,973843","26,395999","ops/ms",SEQUENTIAL,100,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"17885,394017","1465,083663","ops/ms",SEQUENTIAL,10000,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"5327,379394","2857,794748","ops/ms",SEQUENTIAL,10000,SYNCHRONIZED_HASH_MAP,0.5,42
